Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780184461,160,,Aggregated,73.700000,0.000000,2000,2200,2300,2400,2600,2800,3100,3200,3900,4100,4100,2987,0,2000,1946.6356014415676,102.86769992671907,4124.108599964529,10362.983930364915
1780184462,160,,Aggregated,74.700000,0.000000,2000,2200,2300,2400,2600,2800,3100,3200,3800,4100,4100,3080,0,2000,1951.7253995146573,102.86769992671907,4124.108599964529,10360.113636363636
1780184463,160,,Aggregated,74.600000,0.000000,2000,2200,2300,2400,2600,2800,3100,3300,3800,4100,4100,3133,0,2000,1952.1380864685575,102.86769992671907,4124.108599964529,10366.40663900415
1780184464,160,,Aggregated,72.500000,0.000000,2000,2200,2300,2400,2600,2800,3100,3300,3800,4100,4100,3227,0,2000,1957.0483666273808,102.86769992671907,4124.108599964529,10372.874496436318
1780184465,160,,Aggregated,73.200000,0.000000,2000,2200,2300,2400,2600,2800,3100,3300,3800,4100,4100,3281,0,2000,1959.4476413003322,102.86769992671907,4124.108599964529,10391.693081377629
1780184466,160,,Aggregated,74.300000,0.000000,2000,2200,2300,2400,2600,2800,3100,3300,3800,4100,4100,3346,0,2000,1965.7614302174459,102.86769992671907,4124.108599964529,10386.600418410042
1780184467,160,,Aggregated,75.100000,0.000000,2000,2200,2300,2400,2600,2800,3100,3300,3800,4100,4100,3434,0,2000,1975.8111927807483,102.86769992671907,4124.108599964529,10387.468841001748
1780184468,160,,Aggregated,73.600000,0.000000,2000,2200,2300,2400,2600,2800,3100,3300,3800,4100,4100,3491,0,2000,1974.2591538555484,102.86769992671907,4124.108599964529,10364.443712403323
1780184469,160,,Aggregated,71.800000,0.000000,2000,2200,2300,2400,2600,2900,3100,3300,3900,4100,4100,3572,0,2000,1978.3472715592673,102.86769992671907,4124.108599964529,10368.595464725644
1780184470,160,,Aggregated,72.700000,0.000000,2000,2200,2300,2400,2600,2900,3200,3400,3900,4100,4100,3628,0,2000,1982.4355443521908,102.86769992671907,4124.108599964529,10377.048235942668
1780184472,160,,Aggregated,70.800000,0.000000,2000,2200,2300,2400,2600,2900,3200,3400,3900,4100,4100,3713,0,2000,1988.3244994103732,102.86769992671907,4124.108599964529,10392.716940479397
1780184473,160,,Aggregated,69.400000,0.000000,2000,2200,2300,2400,2600,2900,3200,3400,3900,4100,4100,3773,0,2000,1989.8845309333858,102.86769992671907,4124.108599964529,10410.701033660218
1780184474,160,,Aggregated,71.300000,0.000000,2000,2200,2300,2400,2600,2900,3200,3400,3900,4100,4100,3844,0,2000,1991.8920325210902,102.86769992671907,4124.108599964529,10404.344953173777
1780184475,160,,Aggregated,69.200000,0.000000,2000,2200,2300,2400,2700,2900,3200,3400,3900,4100,4100,3919,0,2000,1997.1589636671686,102.86769992671907,4124.108599964529,10406.308241898443
1780184476,160,,Aggregated,69.200000,0.000000,2000,2200,2300,2400,2700,2900,3200,3400,3900,4100,4100,4010,0,2000,1997.9571075589186,102.86769992671907,4124.108599964529,10397.213466334164
1780184477,160,,Aggregated,67.900000,0.000000,2000,2200,2300,2400,2700,2900,3200,3400,3900,4100,4100,4061,0,2000,2000.5858458782807,102.86769992671907,4124.108599964529,10405.521300172371
1780184478,160,,Aggregated,72.900000,0.000000,2000,2200,2300,2400,2700,2900,3200,3500,3900,4100,4100,4137,0,2000,2004.179916754302,102.86769992671907,4124.108599964529,10397.429296591734
1780184479,160,,Aggregated,70.100000,0.000000,2000,2200,2300,2400,2700,2900,3200,3400,3900,4100,4100,4226,0,2000,2007.2018949394178,102.86769992671907,4124.108599964529,10415.137245622338
1780184480,160,,Aggregated,69.600000,0.000000,2000,2200,2300,2400,2700,2900,3200,3500,3900,4100,4100,4289,0,2000,2008.341744699007,102.86769992671907,4124.108599964529,10427.81813942644
1780184481,160,,Aggregated,72.100000,0.000000,2000,2200,2300,2400,2700,2900,3200,3400,3900,4100,4100,4343,0,2000,2011.1062932566417,102.86769992671907,4124.108599964529,10422.5579092793
1780184482,160,,Aggregated,70.400000,0.000000,2000,2200,2400,2400,2700,2900,3200,3500,3900,4100,4100,4423,0,2000,2018.6979692097034,102.86769992671907,4124.108599964529,10414.203255708795
1780184483,160,,Aggregated,69.200000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,3900,4200,4200,4481,0,2000,2022.7964461091685,102.86769992671907,4177.154300035909,10419.73220263334
1780184484,160,,Aggregated,70.300000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4100,4900,4900,4554,0,2000,2027.2343330950137,102.86769992671907,4875.850300071761,10416.67149758454
1780184485,160,,Aggregated,70.800000,0.000000,2000,2200,2400,2400,2700,3000,3300,3500,4100,4900,4900,4620,0,2000,2029.933725804034,102.86769992671907,4875.850300071761,10421.182467532468
